Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2010,1050,Galvcast Manufacturing Inc.,Galvcast Plants,Acton,332810,0,0,0,0,0,0,0,,0,0,,
2011,1050,Galvcast Manufacturing Inc.,Galvcast Plants,Acton,332810,0,0,0,0,0,0,0,,0,0,0,
2015,1065,Forterra Brick,Forterra Brick - Aldershot,Aldershot,327990,17578,0,4.62,62,0,0,0,0,17645,17645,17645,Stantec Consulting Ltd.
2016,1065,Forterra Brick,Forterra Brick - Aldershot,Aldershot,327990,21608,0,5.67,74.4,0,0,0,0,21689,21689,21689,Stantec Consulting Ltd.
2017,1065,Meridian Brick,Meridian Brick - Aldershot,Aldershot,327990,16792,0,4.41,58.9,0,0,0,0,16856,16856,16856,NSF International
2018,1065,Meridian Brick,Meridian Brick - Aldershot,Aldershot,327990,22957,0,6.0186,79.391,0,0,0,0,23043,23043,23043,"NSF Certification, LLC"
2010,1070,Honda of Canada,Alliston Plant 1,Alliston,336110,43879,0,18,239,0,0,0,,44137,44137,,
2011,1070,Honda Canada Inc.,Alliston,Alliston,336110,46776,0,21,310,0,0,0,,47107,47107,47107,Conestoga-Rovers & Associates Limited (CRA)
2012,1070,Honda Canada Inc.,Alliston,Alliston,336110,50836.335,0,21.042,276.83,0,0,0,,51135,51135,51135,Conestoga-Rovers & Associates Limited (CRA)
2013,1070,Honda Canada Inc.,Alliston,Alliston,336110,55818.875,0,23.1,303.8,0,0,0,,56146,56146,56146,Conestoga-Rovers & Associates Limited (CRA)
2014,1070,Honda Canada Inc.,Alliston,Alliston,336110,58326.421,0,24.129,317.44,0,0,0,,58668,58668,58668,Conestoga-Rovers & Associates Limited (CRA)
2015,1070,Honda Canada Inc.,Alliston,Alliston,336110,57852.895,0,23.94,314.96,0,0,0,0,58192,58192,58192,GHD Limited (formerly CRA)
2016,1070,Honda Canada Inc.,Honda of Canada Mfg.,Alliston,336110,58396.278,0,24.171,317.75,0,0,0,0,58739,58739,58739,GHD Limited (formerly CRA)
2017,1070,Honda Canada Inc.,Honda of Canada Mfg.,Alliston,336110,60524.3,0,25.032,329.53,0,0,0,0,60879,60879,60879,RWDI
2018,1070,Honda Canada Inc.,Honda of Canada Mfg.,Alliston,336110,63250.6,0,26.166,344.1,0,0,0,0,63621,63621,63621,RWDI
2010,1104,Ontario Power Generation,Atikokan Generating Station,Atikokan,221112,497708,0,377,3097,0,0,0,,501183,501183,,
2011,1104,Ontario Power Generation Inc.,Atikokan Generating Station,Atikokan,221112,77402,0,50.673,488.25,0,0,0,,77941,77941,77941,Ernst & Young LLP
2012,1104,Ontario Power Generation Inc.,Atikokan Generating Station,Atikokan,221119,46575,0,25.578,283.65,0,0,0,,46885,46885,46885,Ernst & Young LLP
